	nCluster	inference
1205_C_T	3	0
1211_T_A	1	0
1211_T_G	1	0
1212_G_A	1	0
1212_G_C	1	0
1213_C_T	1	0
1218_C_T	1	0
1222_T_C	3	0
1224_T_C	2	0
1238_C_T	1	0
1249_A_C	1	0
1255_A_G	1	0
1258_G_A	1	0
1264_G_T	1	0
1276_T_C	1	0
1284_C_T	1	0
1285_T_G	1	0
1287_G_A	1	0
1293_T_C	1	0
1295_T_A	3	0
1302_C_T	1	0
1310_T_C	2	0
1312_G_A	2	0
1314_C_T	2	0
1322_G_A	1	0
1326_C_T	6	0
1329_C_T	1	0
1330_T_A	2	0
1346_C_T	1	0
1355_G_T	3	0
1383_G_T	3	0
1385_C_T	2	0
1387_C_T	2	0
1389_A_C	12	0
1394_G_T	8	0
1397_G_A	2	0
1398_T_C	1	0
1399_A_G	1	0
1400_G_A	3	0
1400_G_C	1	0
1401_G_A	1	0
1401_G_T	1	0
1404_C_A	1	0
1421_G_C	1	0
1432_T_A	1	0
1432_T_C	1	0
1433_G_A	1	0
1437_C_T	1	0
1440_G_T	1	0
1449_C_T	1	0
1452_T_C	1	0
1457_C_T	1	0
1458_G_A	3	0
1461_A_T	1	0
1462_G_A	1	0
1462_G_C	2	0
1463_G_C	1	0
1464_G_A	1	0
1464_G_T	1	0
1466_G_T	1	0
1469_C_T	1	0
1470_G_T	1	0
1471_C_T	1	0
1473_C_T	1	0
1478_G_A	1	0
1480_C_T	1	0
1483_T_C	1	0
1495_G_T	1	0
1501_T_C	4	0
1514_C_A	1	0
1514_C_T	1	0
1515_A_G	1	0
1520_A_G	1	0
1538_C_A	1	0
1542_G_A	1	0
1544_G_A	1	0
1545_C_T	1	0
1551_C_T	1	0
1552_T_C	2	0
1556_A_G	1	0
1558_A_G	1	0
1559_G_A	4	0
1570_T_C	4	0
1572_C_A	1	0
1588_A_T	1	0
1591_T_C	1	0
1593_C_T	1	0
1594_C_T	3	0
1598_G_C	1	0
1604_A_T	1	0
1608_A_G	2	0
1616_C_T	1	0
1618_T_C	2	0
1623_T_A	1	0
1623_T_C	1	0
1624_A_T	1	0
1627_C_T	1	0
1630_A_C	1	0
1630_A_G	1	0
1630_A_T	1	0
1631_A_C	13	0
1633_A_C	1	0
1633_A_G	1	0
1635_A_C	1	0
1635_A_G	2	0
1636_G_T	1	0
1641_T_C	1	0
1644_A_C	2	0
1647_T_A	4	0
1656_T_A	7	0
1659_G_T	7	0
1673_A_G	1	0
1684_C_T	1	0
1700_T_C	1	0
1710_C_T	1	0
1722_C_T	1	0
1723_T_C	1	0
1729_G_A	1	0
1729_G_T	1	0
1730_G_A	2	0
1733_A_G	4	0
1747_G_A	1	0
1751_T_C	1	0
1754_A_T	1	0
1758_C_T	1	0
1760_T_C	2	0
1769_A_T	1	0
1776_A_C	1	0
1779_C_G	2	0
1779_C_T	1	0
1780_C_T	1	0
1782_G_A	1	0
1796_G_A	1	0
1798_T_C	5	0
1801_A_C	2	0
1803_A_C	1	0
1806_G_C	2	0
1808_A_G	2	0
1813_T_A	1	0
1818_A_G	1	0
1820_G_A	3	0
1821_G_A	15	0
1826_T_A	1	0
1836_G_A	3	0
1837_T_C	1	0
1841_C_G	1	0
1842_A_G	1	0
1843_G_A	1	0
1845_A_T	1	0
1846_A_C	1	0
1847_T_C	1	0
1850_A_G	1	0
1853_C_T	1	0
1865_T_C	1	0
1874_G_T	1	0
1880_G_A	1	0
1884_C_T	1	0
1890_G_A	1	0
1897_A_G	1	0
1906_T_C	1	0
1907_T_C	1	0
1909_C_T	1	0
1910_T_G	1	0
1912_C_A	4	0
1912_C_T	2	0
1914_G_A	2	0
1914_G_C	1	0
1917_C_T	1	0
1918_T_C	1	0
1925_A_G	1	0
1927_T_C	1	0
1929_C_T	1	0
1930_T_C	1	0
1943_C_T	1	0
1946_G_C	1	0
1960_C_T	1	0
1962_C_T	1	0
1968_C_T	1	0
1970_A_T	1	0
1973_C_T	2	0
1974_T_C	1	0
1983_T_A	1	0
1984_T_C	1	0
1989_A_G	1	0
1991_T_A	4	0
1991_T_G	5	0
1992_A_G	1	0
1992_A_T	2	0
1994_T_C	1	0
1997_C_A	1	0
1998_T_G	1	0
2003_C_T	3	0
2014_T_A	1	0
2018_A_G	1	0
2022_T_G	1	0
2023_C_G	1	0
2023_C_T	1	0
2026_A_G	1	0
2035_G_T	1	0
2037_C_T	1	0
2038_T_C	1	0
2052_T_A	1	0
2061_C_T	1	0
2062_C_T	1	0
2065_C_T	1	0
2067_T_C	1	0
2072_G_A	1	0
2073_G_A	1	0
2076_G_A	1	0
2076_G_T	2	0
2086_G_T	1	0
2093_T_C	1	0
2094_C_T	1	0
2101_G_C	1	0
2105_A_G	1	0
2106_C_T	1	0
2110_C_T	1	0
2118_G_A	1	0
2124_T_C	1	0
2131_A_G	1	0
2133_A_G	1	0
2136_T_A	1	0
2138_A_T	1	0
2144_G_T	1	0
2148_T_C	1	0
2155_G_A	1	0
2156_C_T	1	0
2163_A_G	1	0
2165_A_G	1	0
2171_A_C	1	0
2171_A_G	1	0
2176_A_C	7	0
2184_A_G	1	0
2185_G_T	1	0
2189_C_T	8	0
2196_A_G	1	0
2207_A_G	1	0
2211_T_A	1	0
2213_A_G	1	0
2219_A_T	1	0
2231_G_T	1	0
2233_T_C	1	0
2235_G_A	1	0
2240_A_T	1	0
2242_T_A	1	0
2244_T_C	1	0
2249_G_A	1	0
2252_C_A	1	0
2255_A_T	4	0
2256_T_C	1	0
2257_T_A	1	0
2263_C_G	1	0
2263_C_T	1	0
2264_T_C	1	0
2268_C_A	1	0
2274_A_C	1	0
2274_A_G	2	0
2278_T_C	1	0
2279_A_G	1	0
2279_A_T	1	0
2280_A_T	1	0
2281_G_T	1	0
2282_G_A	1	0
2283_A_G	1	0
2287_T_C	1	0
2305_G_T	2	0
2306_C_T	1	0
2309_G_T	1	0
2323_G_A	1	0
2330_T_A	3	0
2335_T_C	1	0
2357_G_C	1	0
2361_A_G	1	0
2382_G_C	1	0
2386_A_C	1	0
2388_C_T	1	0
2390_T_A	1	0
2391_T_C	1	0
2392_T_C	1	0
2396_A_C	3	0
2397_C_T	1	0
2402_T_A	2	0
2413_G_A	1	0
2416_C_T	1	0
2421_A_G	1	0
2440_A_T	1	0
2441_G_A	1	0
2446_T_C	2	0
2447_G_T	1	0
2450_C_T	1	0
2452_A_T	1	0
2453_C_T	1	0
2454_T_C	1	0
2455_C_T	1	0
2456_A_T	1	0
2458_G_C	2	0
2466_A_G	1	0
2467_A_G	1	0
2469_C_T	1	0
2472_C_T	1	0
2480_A_G	1	0
2485_C_T	2	0
2488_C_T	1	0
2496_G_C	2	0
2507_C_T	1	0
2519_T_A	1	0
2521_A_T	1	0
2523_C_T	1	0
2528_G_A	1	0
2529_A_C	3	0
2531_G_T	1	0
2536_C_A	1	0
2542_A_G	1	0
2553_T_C	1	0
2558_C_T	1	0
2561_T_A	2	0
2566_A_G	1	0
2571_C_T	1	0
2592_C_T	1	0
2597_T_C	1	0
2604_G_T	1	0
2606_A_G	6	0
2613_T_C	1	0
2616_G_T	2	0
2617_T_C	1	0
2620_T_C	1	0
2624_G_A	4	0
2630_A_T	2	0
2636_C_T	1	0
2648_G_C	1	0
2676_C_T	1	0
2677_T_A	1	0
2680_T_C	2	0
2686_G_A	1	0
2693_A_G	1	0
2694_A_G	1	0
2695_C_T	1	0
2696_A_T	1	0
2698_T_C	1	0
2699_A_C	1	0
2706_C_T	1	0
2714_G_A	1	0
2715_G_A	1	0
2716_C_T	1	0
2721_C_T	3	0
2727_C_T	1	0
2728_A_C	6	0
2730_A_T	1	0
2731_G_A	1	0
2731_G_T	1	0
2755_G_T	2	0
2757_T_C	1	0
2768_G_A	1	0
2770_T_G	1	0
2771_T_C	1	0
2790_C_T	1	0
2793_T_C	3	0
2805_A_G	1	0
2808_G_A	1	0
2812_T_C	1	0
2832_A_G	1	0
2833_G_T	1	0
2840_G_A	1	0
2850_T_C	1	0
2851_T_C	1	0
2863_A_G	1	0
2878_C_T	1	0
2879_G_A	1	0
2880_C_G	1	0
2880_C_T	1	0
2892_C_T	1	0
2904_T_C	1	0
2923_A_T	1	0
2926_T_C	2	0
2928_A_C	5	0
2933_C_T	1	0
2934_T_C	1	0
2939_C_T	2	0
2943_T_G	1	0
2945_G_A	1	0
2956_A_C	1	0
2958_A_C	1	0
2964_G_A	1	0
2966_A_T	4	0
2969_A_G	1	0
2982_A_C	2	0
2994_A_G	1	0
2996_T_G	1	0
2997_C_G	1	0
2997_C_T	1	0
3001_T_A	1	0
3029_T_C	1	0
3030_G_C	1	0
3037_C_T	16	1
3040_C_T	1	0
3046_A_G	1	0
3047_G_T	1	0
3054_A_G	1	0
3055_T_C	1	0
3062_G_C	2	0
3063_A_G	1	0
3078_A_C	8	0
3081_A_C	1	0
3081_A_G	2	0
3086_T_G	1	0
3091_G_C	1	0
3095_T_A	1	0
3096_C_T	1	0
3098_A_G	1	0
3099_C_A	1	0
3100_T_C	1	0
3103_A_C	1	0
3105_A_G	1	0
3113_G_A	1	0
3114_G_T	3	0
3126_A_C	1	0
3133_A_G	1	0
3135_G_A	1	0
3140_C_T	1	0
3145_G_T	1	0
3150_T_C	2	0
3157_C_T	1	0
3162_C_A	1	0
3162_C_T	1	0
3164_G_T	2	0
3172_T_G	1	0
3177_C_T	2	0
3190_A_G	2	0
3198_A_G	1	0
3198_A_T	3	0
3204_T_C	1	0
3211_T_A	1	0
3213_A_G	1	0
3216_G_T	1	0
3217_T_C	1	0
3221_C_A	1	0
3222_A_G	1	0
3223_A_G	1	0
3227_G_C	2	0
3228_T_G	1	0
3231_G_T	1	0
3234_A_G	1	0
3239_G_A	1	0
3241_C_T	1	0
3248_G_T	1	0
3250_G_C	1	0
3251_G_C	1	0
3251_G_T	1	0
3253_C_A	1	0
3253_C_T	1	0
3259_G_A	2	0
3266_A_T	2	0
3270_T_C	2	0
3275_A_G	1	0
3279_T_C	1	0
3290_C_G	8	0
3293_C_G	1	0
3294_C_T	1	0
3305_A_G	2	0
3306_T_C	1	0
3326_C_T	9	0
3328_G_A	1	0
3337_A_G	8	0
3361_A_G	1	0
3364_A_T	1	0
3367_T_C	1	0
3368_A_G	1	0
3397_C_T	2	0
3410_G_A	1	0
3411_C_T	1	0
3412_T_C	1	0
3418_G_T	1	0
3421_A_G	1	0
3424_A_G	1	0
3426_C_T	1	0
3432_T_G	1	0
3433_G_T	1	0
3436_T_C	1	0
3439_T_A	1	0
3440_A_G	1	0
3454_T_C	1	0
3461_A_T	4	0
3466_T_C	2	0
3491_A_G	1	0
3491_A_T	1	0
3493_T_A	1	0
3500_A_C	3	0
3505_C_T	1	0
3509_G_A	1	0
3510_C_T	1	0
3515_C_T	2	0
3520_T_A	1	0
3536_A_G	1	0
3547_T_G	1	0
3548_G_T	1	0
3552_C_T	1	0
3556_T_A	1	0
3557_A_T	3	0
3558_A_G	1	0
3559_A_G	1	0
3566_G_A	1	0
3570_G_A	1	0
3579_T_G	1	0
3586_A_G	1	0
3587_C_T	1	0
3588_A_T	1	0
3592_T_C	1	0
3598_T_C	1	0
3602_C_T	1	0
3604_C_A	1	0
3608_C_T	2	0
3609_T_C	1	0
3610_T_G	1	0
3613_T_G	2	0
3618_T_C	1	0
3619_C_T	1	0
3622_C_T	1	0
3628_T_C	1	0
3630_T_C	1	0
3635_A_G	1	0
3637_A_G	1	0
3645_A_G	1	0
3648_T_G	5	0
3654_T_A	1	0
3665_G_A	1	0
3668_T_G	4	0
3671_G_T	4	0
3680_A_C	10	0
3683_C_A	8	0
3685_G_T	1	0
3689_G_A	1	0
3695_C_G	1	0
3698_C_A	1	0
3698_C_T	1	0
3700_T_C	1	0
3701_G_A	1	0
3709_A_C	1	0
3709_A_T	1	0
3716_G_T	1	0
3717_C_T	1	0
3726_T_C	1	0
3729_G_A	1	0
3733_T_A	1	0
3736_C_T	6	0
3738_C_T	2	0
3763_A_C	1	0
3768_C_T	2	0
3772_T_G	1	0
3773_C_T	1	0
3784_C_T	1	0
3786_A_G	1	0
3786_A_T	1	0
3787_C_T	1	0
3796_C_G	1	0
3796_C_T	1	0
3802_T_C	1	0
3805_A_T	1	0
3818_A_G	1	0
3838_G_A	2	0
3840_A_G	1	0
3845_A_G	1	0
3862_T_A	7	0
3869_A_G	1	0
3871_G_T	1	0
3874_C_T	1	0
3877_T_C	1	0
3884_C_T	1	0
3889_A_G	1	0
3894_A_G	1	0
3900_A_G	1	0
3908_A_G	2	0
3909_T_C	1	0
3912_C_T	1	0
3915_A_G	1	0
3924_C_T	1	0
3925_T_G	1	0
3932_G_A	1	0
3934_A_G	1	0
3938_A_T	2	0
3955_G_T	2	0
3961_C_T	1	0
3964_A_T	1	0
3967_T_G	1	0
3971_G_T	5	0
3984_C_A	1	0
3990_C_A	1	0
3992_C_G	1	0
3992_C_T	1	0
3993_T_G	1	0
4002_C_T	1	0
4003_T_G	1	0
4007_T_C	1	0
4020_A_G	1	0
4027_A_G	2	0
4032_A_T	1	0
4038_A_C	1	0
4042_T_C	1	0
4045_T_C	1	0
4048_C_T	1	0
4056_A_T	2	0
4058_C_A	1	0
4068_C_T	3	0
4071_C_T	1	0
4073_C_T	1	0
4076_G_A	1	0
4079_A_G	1	0
4084_C_T	2	0
4087_T_C	1	0
4102_A_T	5	0
4107_A_C	1	0
4108_A_T	4	0
4113_C_T	3	0
4114_T_G	1	0
4115_C_T	1	0
4119_A_G	2	0
4125_T_A	1	0
4125_T_C	1	0
4126_G_A	1	0
4127_G_A	1	0
4144_G_A	1	0
4145_G_T	1	0
4148_G_T	2	0
4151_T_G	1	0
4155_C_T	1	0
4157_G_T	1	0
4158_C_T	1	0
4166_A_T	2	0
4177_A_C	1	0
4178_A_G	1	0
4185_G_T	7	0
4197_A_G	2	0
4206_C_T	2	0
4226_C_T	1	0
4229_A_C	16	0
4233_A_C	9	0
4236_A_G	1	0
4241_A_G	2	0
4246_C_T	1	0
4248_C_T	1	0
4249_T_A	1	0
4252_C_T	1	0
4253_C_A	1	0
4253_C_T	1	0
4254_C_A	2	0
4254_C_T	1	0
4255_G_A	1	0
4258_T_G	1	0
4259_C_A	1	0
4260_A_G	2	0
4261_G_A	1	0
4264_T_C	1	0
4265_T_C	1	0
4266_T_C	1	0
4270_T_A	1	0
4276_C_T	2	0
4277_A_G	2	0
4281_T_C	1	0
4283_G_T	1	0
4285_G_T	1	0
4289_G_T	2	0
4294_G_C	1	0
4295_A_G	1	0
4296_C_T	1	0
4314_A_G	1	0
4320_C_T	1	0
4329_T_C	6	0
4331_C_T	1	0
4333_A_G	1	0
4337_T_G	1	0
4338_C_T	4	0
4341_T_A	1	0
4350_A_C	1	0
4354_G_A	1	0
4360_A_C	1	0
4364_A_G	1	0
4364_A_T	1	0
4371_G_A	1	0
4372_A_G	1	0
4378_T_C	1	0
4381_T_C	1	0
4390_G_T	1	0
4399_G_T	1	0
4402_T_C	1	0
4414_A_G	1	0
4422_G_A	1	0
4423_C_T	2	0
4429_A_C	2	0
4433_C_T	1	0
4437_T_G	1	0
4440_G_T	4	0
4441_T_C	1	0
4455_C_T	1	0
4456_C_T	3	0
4465_A_C	1	0
4468_T_C	1	0
4469_A_T	1	0
4475_C_T	6	0
4477_T_C	1	0
4480_A_C	2	0
4497_T_A	1	0
4497_T_C	7	0
4500_A_C	1	0
4510_G_T	2	0
4511_G_T	13	0
4517_T_A	1	0
4518_A_G	2	0
4518_A_T	1	0
4519_T_C	1	0
4528_A_G	1	0
4534_C_T	1	0
4540_C_T	1	0
4547_A_C	1	0
4551_C_T	2	0
4554_C_A	1	0
4562_T_C	1	0
4565_C_A	1	0
4566_T_A	1	0
4566_T_G	1	0
4567_T_A	1	0
4567_T_C	1	0
4574_A_C	2	0
4582_C_T	2	0
4586_C_T	1	0
4587_T_C	1	0
4590_A_G	1	0
4610_C_T	1	0
4629_A_C	1	0
4630_T_G	1	0
4633_C_G	1	0
4636_A_T	1	0
4638_A_C	1	0
4647_A_T	1	0
4663_G_T	1	0
4664_A_C	1	0
4666_A_G	1	0
4679_C_G	2	0
4679_C_T	1	0
4680_C_T	1	0
4685_A_T	2	0
4686_C_T	1	0
4688_G_A	1	0
4698_C_T	1	0
4714_T_A	1	0
4716_C_T	1	0
4718_G_T	1	0
4720_G_A	1	0
4724_A_G	1	0
4726_T_C	1	0
4738_T_C	1	0
4740_C_G	1	0
4747_T_C	5	0
4755_C_T	1	0
4763_C_T	1	0
4765_T_C	1	0
4771_T_A	3	0
4773_A_G	1	0
4777_C_T	1	0
4780_C_T	1	0
4784_C_T	1	0
4795_C_T	1	0
4802_G_A	4	0
4802_G_T	1	0
4824_C_T	1	0
4827_C_T	1	0
4831_A_T	2	0
4844_T_A	1	0
4864_A_G	1	0
4878_C_T	1	0
4879_T_C	1	0
4882_T_C	1	0
4884_A_G	1	0
4887_C_T	1	0
4894_A_G	2	0
4895_T_C	3	0
4905_A_T	2	0
4923_T_C	5	0
4925_G_T	1	0
4927_C_G	1	0
4930_T_C	2	0
4934_A_T	2	0
4935_A_G	1	0
4938_C_A	1	0
4943_C_T	1	0
4947_C_T	1	0
4951_G_A	2	0
4960_G_A	3	0
4961_A_T	1	0
4962_G_C	1	0
4963_G_A	1	0
4965_C_T	2	0
4966_T_C	1	0
4973_G_A	2	0
4975_G_T	1	0
4976_T_A	1	0
4979_A_T	1	0
4980_C_T	1	0
4986_T_C	4	0
5011_A_C	1	0
5014_T_C	1	0
5017_G_T	1	0
5018_G_T	2	0
5027_A_T	1	0
5030_A_G	1	0
5031_C_T	1	0
5033_T_A	1	0
5047_T_C	1	0
5061_T_C	1	0
5068_A_T	1	0
5078_A_G	5	0
5080_T_A	1	0
5089_A_G	3	0
5090_C_T	1	0
5098_T_C	1	0
5104_T_C	1	0
5118_T_A	1	0
5119_T_A	1	0
5120_T_A	1	0
5123_G_C	1	0
5136_A_C	11	0
5137_T_C	1	0
5142_C_T	1	0
5144_C_T	1	0
5152_T_G	1	0
5156_G_A	1	0
5157_C_T	8	0
5170_C_T	1	0
5175_C_T	1	0
5177_A_C	1	0
5178_C_T	1	0
5183_C_T	2	0
5184_C_G	1	0
5192_C_T	1	0
5194_G_T	1	0
5200_G_T	1	0
5201_T_A	1	0
5202_A_G	1	0
5207_T_A	1	0
5207_T_C	1	0
5210_G_T	11	0
5211_C_T	1	0
5216_A_G	1	0
5218_T_A	2	0
5229_A_G	1	0
5229_A_T	1	0
5231_T_C	1	0
5231_T_G	1	0
5233_G_C	1	0
5239_C_T	3	0
5240_C_G	1	0
5243_C_G	4	0
5257_A_C	1	0
5257_A_T	1	0
5259_C_T	1	0
5261_T_G	1	0
5264_A_T	1	0
5270_T_A	1	0
5273_G_A	1	0
5273_G_C	1	0
5274_C_A	1	0
5278_T_C	1	0
5283_A_G	1	0
5284_C_T	1	0
5293_T_C	1	0
5294_G_C	1	0
5300_G_T	1	0
5305_G_T	1	0
5310_C_T	1	0
5333_T_C	1	0
5335_T_C	1	0
5343_C_T	2	0
5357_G_A	1	0
5372_A_G	3	0
5374_G_A	1	0
5387_G_T	1	0
5393_T_C	1	0
5405_A_C	1	0
5426_A_C	1	0
5431_A_T	2	0
5434_T_C	1	0
5447_G_T	3	0
5467_C_T	2	0
5475_A_T	1	0
5485_T_G	2	0
5497_C_T	2	0
5505_T_C	1	0
5509_G_A	1	0
5512_C_T	1	0
5516_G_A	1	0
5527_T_A	3	0
5529_G_C	2	0
5533_A_G	1	0
5534_C_T	2	0
5548_C_A	1	0
5555_G_C	1	0
5560_A_T	1	0
5561_G_A	1	0
5570_A_G	12	0
5572_G_T	2	0
5576_A_C	1	0
5577_T_A	1	0
5589_C_G	1	0
5592_A_T	1	0
5605_G_T	1	0
5610_G_T	1	0
5617_G_T	2	0
5621_C_T	1	0
5622_C_T	1	0
5623_T_A	1	0
5629_G_A	10	0
5643_C_G	2	0
5643_C_T	1	0
5654_C_T	1	0
5656_A_G	1	0
5657_G_A	1	0
5658_T_C	1	0
5662_A_T	1	0
5663_C_A	1	0
5663_C_T	1	0
5664_A_G	1	0
5665_G_A	2	0
5666_G_A	1	0
5674_T_C	1	0
5688_C_T	1	0
5696_C_G	1	0
5700_C_A	1	0
5702_C_T	1	0
5703_A_T	2	0
5706_A_G	1	0
5717_C_A	1	0
5717_C_T	1	0
5730_C_T	1	0
5739_G_A	1	0
5741_G_C	1	0
5743_G_C	2	0
5744_T_C	2	0
5746_C_T	1	0
5749_T_C	1	0
5750_G_A	1	0
5763_G_A	1	0
5765_G_A	8	0
5766_G_C	7	0
5778_A_C	1	0
5784_C_T	1	0
5806_C_T	1	0
5808_T_A	2	0
5812_C_T	2	0
5813_G_A	2	0
5822_C_T	1	0
5832_C_T	1	0
5838_A_G	1	0
5846_G_A	1	0
5847_G_T	15	0
5849_C_T	13	0
5886_C_T	1	0
5888_A_C	1	0
5896_A_G	1	0
5897_A_G	1	0
5907_C_T	1	0
5914_A_G	1	0
5919_A_T	2	0
5929_T_G	3	0
5934_C_T	1	0
5952_T_C	1	0
5953_G_T	1	0
5961_A_T	1	0
5967_A_T	1	0
5969_A_T	7	0
5974_C_T	1	0
5984_T_G	1	0
5990_G_C	1	0
6002_G_T	5	0
6007_T_C	1	0
6010_A_G	1	0
6014_A_G	1	0
6026_C_T	3	0
6027_C_T	1	0
6030_A_T	1	0
6032_G_A	1	0
6033_C_T	1	0
6040_C_T	5	0
6046_T_C	1	0
6057_T_G	4	0
6059_T_A	1	0
6060_G_A	1	0
6065_A_G	1	0
6066_A_T	1	0
6073_A_T	2	0
6091_C_T	1	0
6094_G_T	1	0
6101_G_A	1	0
6105_A_T	8	0
6108_A_T	2	0
6115_T_A	1	0
6115_T_G	1	0
6123_G_C	1	0
6124_A_G	1	0
6125_G_A	1	0
6134_G_A	1	0
6136_T_C	1	0
6143_T_C	1	0
6145_C_T	1	0
6146_C_T	1	0
6156_A_G	1	0
6162_A_T	1	0
6173_A_G	1	0
6187_C_T	1	0
6188_T_C	1	0
6195_C_T	1	0
6196_C_T	1	0
6198_C_T	1	0
6206_A_T	5	0
6208_A_G	1	0
6220_G_A	1	0
6224_C_T	1	0
6229_A_G	1	0
6239_T_A	1	0
6248_A_G	2	0
6254_G_T	2	0
6255_C_T	2	0
6257_A_G	1	0
6258_C_T	1	0
6266_G_A	1	0
6266_G_C	1	0
6267_C_T	1	0
6268_C_A	1	0
6270_C_T	1	0
6273_A_G	1	0
6274_T_C	1	0
6276_A_C	1	0
6277_A_G	1	0
6280_A_G	1	0
6285_C_T	3	0
6286_C_G	1	0
6298_T_C	1	0
6310_C_T	1	0
6312_C_A	1	0
6312_C_T	1	0
6316_A_G	1	0
6317_C_T	1	0
6321_T_G	3	0
6323_G_A	1	0
6324_A_C	1	0
6329_T_C	1	0
6330_C_T	1	0
6331_A_G	1	0
6348_T_C	1	0
6349_G_A	1	0
6352_G_A	1	0
6353_T_G	1	0
6354_C_T	1	0
6355_A_T	1	0
6358_G_A	1	0
6362_G_A	1	0
6382_T_A	1	0
6385_C_T	1	0
6390_A_C	2	0
6395_C_T	1	0
6402_C_T	2	0
6404_G_T	1	0
6409_T_C	1	0
6412_A_C	2	0
6414_A_C	1	0
6422_G_T	1	0
6426_A_G	1	0
